date,RmxRf,SMB,HML,Rf
1926-07-01,0.0296,-2.3,-2.87,0.0022
1926-08-01,0.0264,-1.4,4.19,0.0025
1926-09-01,0.0036,-1.32,0.01,0.0023
1926-10-01,-0.032400000000000005,0.04,0.51,0.0032
1926-11-01,0.0253,-0.2,-0.35,0.0031
1926-12-01,0.0262,-0.04,-0.02,0.0028000000000000004
1927-01-01,-6e-4,-0.56,4.83,0.0025
1927-02-01,0.0418,-0.1,3.17,0.0026
1927-03-01,0.0013,-1.6,-2.67,0.003
1927-04-01,0.0046,0.43,0.6,0.0025
1927-05-01,0.054400000000000004,1.41,4.93,0.003
1927-06-01,-0.023399999999999997,0.47,-1.53,0.0026
1927-07-01,0.0726,-3.23,-1.16,0.003
1927-08-01,0.0197,-0.72,-3.69,0.0028000000000000004
1927-09-01,0.047599999999999996,-3.57,-0.71,0.0021
1927-10-01,-0.0431,2.13,-4.33,0.0025
1927-11-01,0.0658,2.76,-0.31,0.0021
1927-12-01,0.0209,0.93,-1.06,0.0022
1928-01-01,-0.0068000000000000005,4.25,-0.72,0.0025
1928-02-01,-0.017,-2.03,-0.69,0.0033
1928-03-01,0.08810000000000001,-0.26,-1.2,0.0029
1928-04-01,0.042300000000000004,3.82,3.67,0.0022
1928-05-01,0.0152,2.98,-3.46,0.0032
1928-06-01,-0.048499999999999995,-3.5,-0.06,0.0031
1928-07-01,0.0062,-1.35,-0.47,0.0032
1928-08-01,0.0668,-2.07,-2.11,0.0032
1928-09-01,0.0288,2.33,0.99,0.0027
1928-10-01,0.013300000000000001,2.27,-2.26,0.0040999999999999995
1928-11-01,0.11810000000000001,-1.81,2.8,0.0038
1928-12-01,0.0036,-0.85,-0.6,6e-4
1929-01-01,0.0466,-3.54,-1.21,0.0034000000000000002
1929-02-01,-0.0034000000000000002,-0.39,1.68,0.0036
1929-03-01,-0.0089,-4.74,1.61,0.0034000000000000002
1929-04-01,0.0143,-1,0.6,0.0036
1929-05-01,-0.0639,-5.35,-1.4,0.0044
1929-06-01,0.09699999999999999,-2.17,-2.76,0.0052
1929-07-01,0.0446,-3.88,2.66,0.0033
1929-08-01,0.0818,-9.52,0.06,0.004
1929-09-01,-0.0547,1.17,-0.63,0.0034999999999999996
1929-10-01,-0.20120000000000002,-4.08,7.85,0.0046
1929-11-01,-0.1274,-1.9,5.33,0.0037
1929-12-01,0.013300000000000001,-4.33,-0.59,0.0037
1930-01-01,0.056100000000000004,3.54,-1.01,0.0014000000000000002
1930-02-01,0.025,0.13,0.39,0.003
1930-03-01,0.071,3.43,0.15,0.0034999999999999996
1930-04-01,-0.0206,-0.2,-0.84,0.0021
1930-05-01,-0.0166,-2.04,-0.63,0.0026
1930-06-01,-0.16269999999999998,-3.24,2,0.0027
1930-07-01,0.0412,-0.37,-1.56,0.002
1930-08-01,0.003,-2.22,-0.78,9e-4
1930-09-01,-0.1275,-2.22,-5.27,0.0022
1930-10-01,-0.08779999999999999,-0.1,-1.35,9e-4
1930-11-01,-0.0304,2.21,-3.53,0.0013
1930-12-01,-0.0783,-4.67,-5.4,0.0014000000000000002
1931-01-01,0.062400000000000004,3.77,7.16,0.0015
1931-02-01,0.10880000000000001,3.38,1.61,4e-4
1931-03-01,-0.0643,3.07,-3.66,0.0013
1931-04-01,-0.0998,-4.62,-3.94,8e-4
1931-05-01,-0.1324,5.17,-6.58,9e-4
1931-06-01,0.139,-5.38,11.31,8e-4
1931-07-01,-0.0662,1.43,-2.1,6e-4
1931-08-01,0.0040999999999999995,-1.97,-1.49,3e-4
1931-09-01,-0.2913,0.56,-6.75,3e-4
1931-10-01,0.08039999999999999,-1.87,1.7,0.001
1931-11-01,-0.0908,4.3,-5.05,0.0017000000000000001
1931-12-01,-0.1353,-0.56,-8.86,0.0012
1932-01-01,-0.0158,3.94,9.04,0.0023
1932-02-01,0.0546,-2.77,-1.45,0.0023
1932-03-01,-0.1121,2.27,-2.32,0.0016
1932-04-01,-0.1796,1.44,1.42,0.0011
1932-05-01,-0.2051,3.91,-2.99,6e-4
1932-06-01,-0.006999999999999999,0.34,5.3,2e-4
1932-07-01,0.33840000000000003,-4.44,35.46,3e-4
1932-08-01,0.37060000000000004,14.29,33.03,3e-4
1932-09-01,-0.0294,-2.44,-6.82,3e-4
1932-10-01,-0.1317,-2.76,-10.05,2e-4
1932-11-01,-0.0588,2.08,-13.28,2e-4
1932-12-01,0.044000000000000004,-8.27,-8.17,1e-4
1933-01-01,0.0125,0.69,6.23,1e-4
1933-02-01,-0.1524,-2.75,-2.73,-3e-4
1933-03-01,0.0329,3.9,7.38,4e-4
1933-04-01,0.3885,4.56,17.43,0.001
1933-05-01,0.2143,36.7,19.03,4e-4
1933-06-01,0.1311,8.56,-2.05,2e-4
1933-07-01,-0.09630000000000001,-1.01,3.27,2e-4
1933-08-01,0.12050000000000001,-5.45,2.96,3e-4
1933-09-01,-0.1065,-0.32,-11.77,2e-4
1933-10-01,-0.0836,-0.08,-8.46,1e-4
1933-11-01,0.09970000000000001,-6.48,2.33,2e-4
1933-12-01,0.0183,0.66,-1.53,2e-4
1934-01-01,0.126,12.53,15.54,5e-4
1934-02-01,-0.025,5.19,2.12,2e-4
1934-03-01,9e-4,2.51,-2.73,2e-4
1934-04-01,-0.0179,2.8,-3.75,1e-4
1934-05-01,-0.0725,-0.26,-5.91,1e-4
1934-06-01,0.0264,-2.14,-2.92,1e-4
1934-07-01,-0.1096,-6.92,-10.64,1e-4
1934-08-01,0.0558,5.39,0.45,1e-4
1934-09-01,-0.0023,-1.5,-1.22,1e-4
1934-10-01,-0.0166,1.25,-5.11,1e-4
1934-11-01,0.0833,6.5,-2.24,1e-4
1934-12-01,0.0036,3.06,-3.2,1e-4
1935-01-01,-0.0345,1.1,-1.86,1e-4
1935-02-01,-0.0194,0.41,-7.27,2e-4
1935-03-01,-0.0368,-3.57,-5.1,1e-4
1935-04-01,0.0906,-1.51,4.35,1e-4
1935-05-01,0.0347,-3.38,2.56,1e-4
1935-06-01,0.0593,-2.51,-1.65,1e-4
1935-07-01,0.0751,1.47,6.86,1e-4
1935-08-01,0.0265,6.28,5.7,1e-4
1935-09-01,0.0263,1.57,-4.05,1e-4
1935-10-01,0.0703,2.64,-2.33,1e-4
1935-11-01,0.048799999999999996,4.28,11.91,2e-4
1935-12-01,0.045599999999999995,0.23,1.07,1e-4
1936-01-01,0.0689,5.14,10.51,1e-4
1936-02-01,0.024900000000000002,1.14,5.04,1e-4
1936-03-01,0.009899999999999999,0.65,-1.66,2e-4
1936-04-01,-0.0814,-6.04,-2.08,2e-4
1936-05-01,0.0519,0.83,2.63,2e-4
1936-06-01,0.024,-3.26,-1.2,3e-4
1936-07-01,0.0667,1.14,2.56,1e-4
1936-08-01,0.009899999999999999,0.72,3.99,2e-4
1936-09-01,0.0098,3.07,0.88,1e-4
1936-10-01,0.0712,-2.39,2.52,2e-4
1936-11-01,0.0327,9.01,-0.92,1e-4
1936-12-01,0.0021,3.61,3.96,0
1937-01-01,0.0335,4.31,2.61,1e-4
1937-02-01,0.0109,1.23,5.05,2e-4
1937-03-01,-0.0027,-1.78,6.39,1e-4
1937-04-01,-0.0736,-3.77,-3.61,3e-4
1937-05-01,-0.0083,-0.66,-3.49,6e-4
1937-06-01,-0.0421,-3.65,-3.21,3e-4
1937-07-01,0.0891,0.85,0.82,3e-4
1937-08-01,-0.048600000000000004,0.42,-2.25,2e-4
1937-09-01,-0.1361,-6.89,-4.57,4e-4
1937-10-01,-0.09609999999999999,0.45,-1.62,2e-4
1937-11-01,-0.08310000000000001,-3.65,0.2,2e-4
1937-12-01,-0.0424,-7.76,-0.39,0
1938-01-01,0.0049,4.97,-1.6,0
1938-02-01,0.0584,0.35,-2.02,0
1938-03-01,-0.2382,-4.24,-3.52,-1e-4
1938-04-01,0.1451,6.37,0.18,1e-4
1938-05-01,-0.0383,-2.47,-0.28,0
1938-06-01,0.23870000000000002,4.05,0.3,0
1938-07-01,0.07339999999999999,6.66,2.18,-1e-4
1938-08-01,-0.026699999999999998,-2.44,-4.72,0
1938-09-01,0.008100000000000001,-2.72,-1.62,2e-4
1938-10-01,0.078,5.83,5.01,1e-4
1938-11-01,-0.0172,-2.56,-1.23,-6e-4
