date,RmxRf,SMB,HML,Rf
1927-01-01,0.29469999999999996,-2.46,-3.75,0.031200000000000002
1928-01-01,0.3539,4.41,-5.83,0.0356
1929-01-01,-0.1954,-30.78,11.96,0.0475
1930-01-01,-0.3123,-5.19,-12.29,0.0241
1931-01-01,-0.4511,3.51,-14.32,0.010700000000000001
1932-01-01,-0.09390000000000001,4.91,10.49,0.0096
1933-01-01,0.5705,48.86,28.15,0.003
1934-01-01,0.0302,25.43,-27.38,0.0016
1935-01-01,0.4496,9.99,9.78,0.0017000000000000001
1936-01-01,0.3207,17.89,35.86,0.0018
1937-01-01,-0.3496,-14,-3.97,0.0031
1938-01-01,0.2848,9.35,-12.18,-2e-4
1939-01-01,0.027000000000000003,5.85,-19.17,2e-4
1940-01-01,-0.07139999999999999,0.79,-0.82,0
1941-01-01,-0.10529999999999999,-4.04,11.13,6e-4
1942-01-01,0.162,5.05,19.87,0.0027
1943-01-01,0.2796,33.35,38.97,0.0034999999999999996
1944-01-01,0.2097,17.98,15.61,0.0033
1945-01-01,0.38380000000000003,25.56,11.4,0.0033
1946-01-01,-0.0673,-3.79,2.98,0.0034999999999999996
1947-01-01,0.029500000000000002,-7.08,9.76,0.005
1948-01-01,0.010700000000000001,-9.14,3.52,0.008100000000000001
1949-01-01,0.1912,3.93,-4.55,0.011000000000000001
1950-01-01,0.2882,0.93,27.01,0.012
1951-01-01,0.19219999999999998,-4.93,-5.95,0.0149
1952-01-01,0.11800000000000001,-6.71,3.44,0.0166
1953-01-01,-0.0105,-1.17,-7.72,0.0182
1954-01-01,0.4935,-2.18,26.2,0.0086
1955-01-01,0.2375,-6.04,4.79,0.015700000000000002
1956-01-01,0.059000000000000004,-0.91,-2.03,0.0246
1957-01-01,-0.1316,-2.84,-6.15,0.031400000000000004
1958-01-01,0.43450000000000005,14.71,13.5,0.0154
1959-01-01,0.09759999999999999,5.61,1.47,0.029500000000000002
1960-01-01,-0.0146,-2.84,-4.4,0.026600000000000002
1961-01-01,0.2481,1.35,5.51,0.0213
1962-01-01,-0.129,-8.32,8.92,0.0273
1963-01-01,0.1784,-6.02,15.75,0.031200000000000002
1964-01-01,0.12539999999999998,-1.11,10,0.0354
1965-01-01,0.1052,21.87,7.23,0.0393
1966-01-01,-0.1351,2.7,-0.84,0.047599999999999996
1967-01-01,0.24489999999999998,50.31,-7.6,0.0421
1968-01-01,0.08789999999999999,24.42,18.37,0.0521
1969-01-01,-0.1754,-13.97,-10.09,0.0658
1970-01-01,-0.0649,-11.81,21.49,0.0652
1971-01-01,0.11779999999999999,5.59,-11.19,0.043899999999999995
1972-01-01,0.1305,-11.9,1.49,0.0384
1973-01-01,-0.2619,-23.39,17.92,0.0693
1974-01-01,-0.3575,-0.74,9.71,0.08
1975-01-01,0.32439999999999997,15.29,9.39,0.057999999999999996
1976-01-01,0.2191,14.69,24.45,0.0508
1977-01-01,-0.08259999999999999,22.93,7.44,0.0512
1978-01-01,0.0103,14.4,0.31,0.0718
1979-01-01,0.1309,21.17,-2.36,0.1038
1980-01-01,0.2213,5.51,-25.03,0.1124
1981-01-01,-0.1813,7.22,25.02,0.1471
1982-01-01,0.1066,8.85,13.37,0.1054
1983-01-01,0.1374,13.62,20.76,0.08800000000000001
1984-01-01,-0.0605,-8.38,19.6,0.09849999999999999
1985-01-01,0.2491,0.17,1.39,0.07719999999999999
1986-01-01,0.1012,-9.67,9.26,0.0616
1987-01-01,-0.0387,-11,-1.72,0.0547
1988-01-01,0.1155,5.88,14.81,0.0635
1989-01-01,0.20489999999999997,-12.7,-4.22,0.0837
1990-01-01,-0.13949999999999999,-14.17,-10.2,0.0781
1991-01-01,0.2918,16.1,-14.39,0.055999999999999994
1992-01-01,0.0623,7.54,24.58,0.0351
1993-01-01,0.0821,6.37,17.14,0.028999999999999998
1994-01-01,-0.040999999999999995,-0.45,-0.94,0.039
1995-01-01,0.3122,-10.24,6.42,0.055999999999999994
1996-01-01,0.15960000000000002,-4.41,8.24,0.0521
1997-01-01,0.2596,-8.12,19.36,0.0526
1998-01-01,0.1946,-25.62,-9.88,0.048600000000000004
1999-01-01,0.2057,15.18,-31.63,0.046799999999999994
2000-01-01,-0.17600000000000002,-5.17,46.07,0.058899999999999994
2001-01-01,-0.152,18.27,18.67,0.0383
2002-01-01,-0.22760000000000002,3.95,8.2,0.0165
2003-01-01,0.3075,25.99,4.06,0.0102
2004-01-01,0.1072,4.18,7.47,0.012
2005-01-01,0.030899999999999997,-2.49,9.63,0.0298
2006-01-01,0.106,0.17,12.12,0.048
2007-01-01,0.0104,-6.93,-17.02,0.0466
2008-01-01,-0.3834,2.8,0.57,0.016
2009-01-01,0.2826,9.56,-9.21,0.001
2010-01-01,0.17370000000000002,13.9,-5.33,0.0012
2011-01-01,0.0044,-5.79,-8.4,4e-4
2012-01-01,0.16269999999999998,-1.02,9.97,6e-4
2013-01-01,0.35200000000000004,6.85,2.53,2e-4
2014-01-01,0.11710000000000001,-7.94,-1.52,2e-4
2015-01-01,8e-4,-3.96,-9.5,2e-4
2016-01-01,0.133,6.53,22.86,0.002
2017-01-01,0.2151,-4.96,-13.84,0.008
2018-01-01,-0.0693,-3.15,-9.34,0.0181
2019-01-01,0.2828,-6.26,-10.68,0.021400000000000002
2020-01-01,0.23670000000000002,13.07,-47.2,0.0044
