symbol,date,open,high,low,close,volume,adjusted
IBM,2010-12-31,146.729996,147.070007,145.960007,146.759995,2969800,104.48719
IBM,2011-01-03,147.210007,148.199997,147.139999,147.479996,4603800,104.999786
IBM,2011-01-04,147.559998,148.220001,146.639999,147.639999,5060100,105.113693
IBM,2011-01-05,147.339996,147.479996,146.729996,147.050003,4657400,104.693611
IBM,2011-01-06,147.130005,148.789993,146.820007,148.660004,5029200,105.83989
IBM,2011-01-07,148.789993,148.860001,146.940002,147.929993,4135700,105.320175
IBM,2011-01-10,147.580002,148.059998,147.229996,147.639999,3633400,105.113693
IBM,2011-01-11,148.199997,148.350006,146.75,147.279999,4163600,104.857391
IBM,2011-01-12,147.990005,149.289993,147.669998,149.100006,4091500,106.15316
IBM,2011-01-13,149.240005,149.289993,148.25,148.820007,3445800,105.953812
IBM,2011-01-14,148.889999,150,148.470001,150,4544200,106.793915
IBM,2011-01-18,149.820007,151.460007,149.380005,150.649994,9176900,107.256668
IBM,2011-01-19,153.259995,156.130005,152.830002,155.690002,12141000,110.844971
IBM,2011-01-20,154.529999,155.960007,154.449997,155.800003,7439900,110.923286
IBM,2011-01-21,156.399994,156.779999,154.960007,155.5,7009000,110.709709
IBM,2011-01-24,155.419998,159.789993,155.330002,159.630005,7285100,113.650063
IBM,2011-01-25,159.210007,164.350006,159,161.440002,8260800,114.938713
IBM,2011-01-26,161.669998,161.899994,160.419998,161.039993,5353100,114.653946
IBM,2011-01-27,161.429993,162.179993,160.860001,161.070007,4878300,114.675285
IBM,2011-01-28,161.050003,161.919998,158.669998,159.210007,6725600,113.351051
IBM,2011-01-31,159.179993,162,158.679993,162,7197200,115.33744
IBM,2011-02-01,162.110001,163.940002,162,163.559998,5831300,116.448105
IBM,2011-02-02,163.399994,163.600006,162.610001,163.300003,3904000,116.263
IBM,2011-02-03,163.160004,164.199997,162.809998,163.529999,4683400,116.426704
IBM,2011-02-04,163.479996,164.139999,163.220001,164,3755200,116.761391
IBM,2011-02-07,164.080002,164.990005,164.020004,164.820007,4928100,117.345215
IBM,2011-02-08,164.820007,166.25,164.320007,166.050003,5612600,118.68895
IBM,2011-02-09,165.619995,165.970001,164.100006,164.649994,4633600,117.688248
IBM,2011-02-10,163.899994,165,163.179993,164.089996,5737800,117.28797900000001
IBM,2011-02-11,163.979996,165.009995,163.309998,163.850006,5185200,117.116455
IBM,2011-02-14,164.179993,164.380005,162.850006,163.220001,4129800,116.666168
IBM,2011-02-15,162.889999,163.570007,162.520004,162.839996,3768700,116.394485
IBM,2011-02-16,163.330002,163.600006,162.75,163.399994,3216000,116.794769
IBM,2011-02-17,163.300003,164.669998,162.850006,164.240005,3230500,117.395187
IBM,2011-02-18,164.460007,164.839996,164.100006,164.839996,4245000,117.824036
IBM,2011-02-22,163.570007,164.259995,161.779999,161.949997,5209300,115.758362
IBM,2011-02-23,161.809998,162.679993,160.139999,160.179993,5998100,114.49321
IBM,2011-02-24,159.630005,161.270004,159.029999,160.770004,5707500,114.914902
IBM,2011-02-25,161.059998,162.339996,160.860001,162.279999,4518400,115.994232
IBM,2011-02-28,162.360001,162.990005,161.240005,161.880005,4773000,115.708374
IBM,2011-03-01,163.149994,163.149994,159.880005,159.970001,4382800,114.343094
IBM,2011-03-02,159.429993,161.110001,159.410004,160.160004,3413000,114.478935
IBM,2011-03-03,161.419998,164,161.270004,163.479996,4057800,116.851952
IBM,2011-03-04,163.399994,164.309998,160.649994,161.830002,4910700,115.672546
IBM,2011-03-07,161.600006,162.979996,158.850006,159.929993,5312000,114.314491
IBM,2011-03-08,159.699997,163.429993,159.210007,162.279999,5384800,115.994232
IBM,2011-03-09,163.470001,167.720001,163.279999,165.860001,9086600,118.553123
IBM,2011-03-10,164.639999,164.669998,161.380005,162.020004,7041400,115.808342
IBM,2011-03-11,162.399994,163.240005,160.839996,162.429993,4271000,116.101418
IBM,2011-03-14,161.160004,161.979996,160.089996,161.389999,4300500,115.358086
IBM,2011-03-15,157.350006,159.639999,156.880005,159.020004,6475800,113.664093
IBM,2011-03-16,156.520004,156.979996,151.710007,153,12195300,109.361053
IBM,2011-03-17,154,154.5,152.699997,154.179993,7376400,110.204498
IBM,2011-03-18,156.5,156.949997,154.320007,155.889999,11450000,111.426804
IBM,2011-03-21,157.639999,159.630005,157.070007,157.679993,5784000,112.706276
IBM,2011-03-22,158.559998,158.610001,157.520004,158,4311400,112.934998
IBM,2011-03-23,158,160.080002,157.529999,159.529999,4782500,114.028603
IBM,2011-03-24,160.229996,160.710007,158.839996,160.039993,5145800,114.393097
IBM,2011-03-25,160.979996,162.740005,160.759995,162.179993,5348100,115.922775
IBM,2011-03-28,161.539993,162.580002,161.119995,161.369995,3972800,115.343742
IBM,2011-03-29,161.339996,163.089996,161.149994,162.880005,3456700,116.423103
IBM,2011-03-30,163.550003,163.990005,163.020004,163.600006,3394100,116.937767
IBM,2011-03-31,163.399994,164.059998,163.070007,163.070007,3860800,116.558899
IBM,2011-04-01,163.699997,164.419998,163.039993,164.270004,4381900,117.416618
IBM,2011-04-04,164.419998,164.729996,163.580002,164.25,3225100,117.402367
IBM,2011-04-05,163.809998,164.699997,163.619995,163.990005,3612000,117.216499
IBM,2011-04-06,164.339996,164.75,163.809998,164.039993,3774800,117.252274
IBM,2011-04-07,164.100006,164.550003,163.279999,164.380005,3666700,117.495255
IBM,2011-04-08,164.350006,164.380005,163.160004,164.050003,3324100,117.259369
IBM,2011-04-11,163.440002,164,163.110001,163.949997,4139000,117.187866
IBM,2011-04-12,163.360001,163.770004,162.300003,163.25,3860600,116.687584
IBM,2011-04-13,163.970001,164.929993,163.660004,163.949997,4181900,117.187866
IBM,2011-04-14,163.839996,165.360001,163.160004,164.970001,4699100,117.916962
IBM,2011-04-15,165,166.339996,164.869995,166.210007,5287400,118.803307
IBM,2011-04-18,164.639999,166.160004,162.860001,165.940002,6160700,118.610352
IBM,2011-04-19,165.710007,166.380005,164.440002,165.399994,6547100,118.224327
IBM,2011-04-20,163.100006,165.889999,162.190002,164.75,10891800,117.759689
IBM,2011-04-21,165.630005,168.449997,164.860001,168.279999,6158400,120.282906
IBM,2011-04-25,167.649994,168.770004,167.229996,167.669998,3583800,119.846939
IBM,2011-04-26,167.990005,169.199997,167.399994,168.490005,7300000,120.433022
IBM,2011-04-27,168.610001,170.589996,168.460007,170.369995,5299700,121.776764
IBM,2011-04-28,169.990005,171.380005,169.699997,170.779999,5087700,122.069847
IBM,2011-04-29,171.100006,173,170.479996,170.580002,5587700,121.926849
IBM,2011-05-02,172.110001,173.539993,171.490005,172.149994,5396200,123.049072
IBM,2011-05-03,172,173.479996,171.229996,172.869995,5007700,123.563698
IBM,2011-05-04,172.360001,172.619995,169.589996,170.619995,6890300,121.955482
IBM,2011-05-05,170.470001,170.869995,167.5,168.460007,7332000,120.411575
IBM,2011-05-06,169.029999,170.149994,168.240005,168.889999,4839400,121.258781
IBM,2011-05-09,168.389999,169.850006,168.309998,169.100006,3594800,121.409546
IBM,2011-05-10,169.25,170.899994,169.220001,170.380005,4934800,122.328568
IBM,2011-05-11,170.300003,170.520004,167.820007,169.5,4663200,121.696709
IBM,2011-05-12,169.649994,172.770004,168.649994,172.240005,5138500,123.663986
IBM,2011-05-13,171.699997,172.149994,169.440002,169.919998,5167400,121.998245
IBM,2011-05-16,169.809998,170.639999,168.309998,168.860001,4662200,121.237221
IBM,2011-05-17,167.850006,171.410004,166.529999,170.5,8773200,122.414711
IBM,2011-05-18,170.100006,171.190002,169.460007,170.440002,4154300,122.371605
IBM,2011-05-19,170.860001,171.399994,169.320007,170.589996,3538300,122.479301
IBM,2011-05-20,170.399994,171.149994,169.380005,170.160004,4869900,122.170601
IBM,2011-05-23,168.580002,168.690002,167.070007,168.259995,5144000,120.806458
IBM,2011-05-24,168.5,168.669998,167.509995,167.990005,4643600,120.612579
IBM,2011-05-25,167.630005,168.399994,167.509995,167.75,3882100,120.440247
IBM,2011-05-26,167.460007,167.5,165.899994,167.179993,5771300,120.031021
IBM,2011-05-27,167.910004,168.470001,167,167.5,3277600,120.260796
IBM,2011-05-31,168.440002,169.889999,167.820007,168.929993,9123400,121.287491
IBM,2011-06-01,168.899994,169.580002,166.5,166.559998,5134600,119.585884
IBM,2011-06-02,166.440002,167.100006,165.710007,166.089996,3854100,119.248413
IBM,2011-06-03,164.300003,165.889999,164.130005,165.050003,5230500,118.501732
IBM,2011-06-06,164.759995,165.580002,164.270004,164.75,3619700,118.286316
IBM,2011-06-07,165.110001,165.240005,163.610001,163.690002,4187000,117.525299
IBM,2011-06-08,163.270004,164.850006,163.259995,164.339996,3850800,117.991982
IBM,2011-06-09,165.009995,165.960007,164.759995,164.839996,4299800,118.350945
IBM,2011-06-10,164.570007,164.839996,162.869995,163.179993,4683300,117.159134
IBM,2011-06-13,164.440002,164.460007,162.729996,163.169998,5099200,117.151939
IBM,2011-06-14,163.869995,164.570007,163.649994,164.119995,7050000,117.834015
IBM,2011-06-15,162.75,163.410004,161.520004,162.330002,5225600,116.548828
IBM,2011-06-16,162.059998,163.630005,161.779999,162.669998,4861100,116.792946
IBM,2011-06-17,164.240005,165.100006,163.580002,164.440002,7149700,118.063812
IBM,2011-06-20,163.699997,165.610001,163.589996,165.020004,3956100,118.480225
IBM,2011-06-21,165.199997,166.75,164,166.220001,5387300,119.341751
IBM,2011-06-22,165.589996,166.809998,165.100006,165.679993,3960500,118.954063
IBM,2011-06-23,164.059998,166.729996,163.800003,166.119995,5271500,119.269974
IBM,2011-06-24,165.850006,165.940002,164.570007,165.070007,4402600,118.516098
