symbol,date,open,high,low,close,volume,adjusted
MSFT,2010-12-31,27.799999,27.92,27.629999,27.91,24752000,22.13941
MSFT,2011-01-03,28.049999,28.18,27.92,27.98,53443800,22.194935
MSFT,2011-01-04,27.940001,28.17,27.85,28.09,54405600,22.282196
MSFT,2011-01-05,27.9,28.01,27.77,28,58998700,22.2108
MSFT,2011-01-06,28.040001,28.85,27.860001,28.82,88026300,22.861258
MSFT,2011-01-07,28.639999,28.74,28.25,28.6,73762000,22.686743
MSFT,2011-01-10,28.26,28.4,28.040001,28.219999,57573600,22.385311
MSFT,2011-01-11,28.200001,28.25,28.049999,28.110001,50298900,22.298059
MSFT,2011-01-12,28.120001,28.59,28.07,28.549999,52631100,22.647087
MSFT,2011-01-13,28.33,28.389999,28.01,28.190001,67077600,22.361511
MSFT,2011-01-14,28.08,28.379999,27.91,28.299999,62688400,22.448769
MSFT,2011-01-18,28.16,28.74,28.139999,28.66,53322700,22.734343
MSFT,2011-01-19,28.459999,28.68,28.27,28.469999,50005900,22.583622
MSFT,2011-01-20,28.5,28.549999,28.129999,28.35,58613600,22.488434
MSFT,2011-01-21,28.4,28.43,28.02,28.02,58080300,22.226664
MSFT,2011-01-24,28.02,28.559999,27.99,28.379999,52047800,22.512232
MSFT,2011-01-25,28.139999,28.450001,28.120001,28.450001,42436600,22.56776
MSFT,2011-01-26,28.51,28.99,28.5,28.780001,74628800,22.829529
MSFT,2011-01-27,28.75,29.459999,28.49,28.870001,146938600,22.900921
MSFT,2011-01-28,28.9,28.93,27.450001,27.75,141249400,22.012486
MSFT,2011-01-31,27.77,27.9,27.42,27.73,65029000,21.996626
MSFT,2011-02-01,27.799999,28.059999,27.610001,27.99,62810700,22.202869
MSFT,2011-02-02,27.93,28.110001,27.879999,27.940001,45824000,22.163204
MSFT,2011-02-03,27.969999,27.969999,27.540001,27.65,60340100,21.933165
MSFT,2011-02-04,27.700001,27.84,27.51,27.77,40412200,22.028351
MSFT,2011-02-07,27.799999,28.34,27.790001,28.200001,68980900,22.369446
MSFT,2011-02-08,28.1,28.34,28.049999,28.280001,34904200,22.432903
MSFT,2011-02-09,28.190001,28.26,27.91,27.969999,52905100,22.187006
MSFT,2011-02-10,27.93,27.940001,27.290001,27.5,76672400,21.814182
MSFT,2011-02-11,27.76,27.809999,27.07,27.25,83939700,21.615866
MSFT,2011-02-14,27.209999,27.27,26.950001,27.23,56766200,21.600002
