symbol,date,open,high,low,close,volume,adjusted
MSFT,2019-12-31,156.770004,157.770004,156.449997,157.699997,18369400,156.04689
MSFT,2020-01-02,158.779999,160.729996,158.330002,160.619995,22622100,158.936279
MSFT,2020-01-03,158.320007,159.949997,158.059998,158.619995,21116200,156.95726
MSFT,2020-01-06,157.080002,159.100006,156.509995,159.029999,20813700,157.362961
MSFT,2020-01-07,159.320007,159.669998,157.320007,157.580002,21634100,155.928177
MSFT,2020-01-08,158.929993,160.800003,157.949997,160.089996,27746500,158.411835
MSFT,2020-01-09,161.839996,162.220001,161.029999,162.089996,21385000,160.390869
MSFT,2020-01-10,162.820007,163.220001,161.179993,161.339996,20725900,159.648727
MSFT,2020-01-13,161.759995,163.309998,161.259995,163.279999,21626500,161.568405
MSFT,2020-01-14,163.389999,163.600006,161.720001,162.130005,23477400,160.43045
MSFT,2020-01-15,162.619995,163.940002,162.570007,163.179993,21417900,161.469452
MSFT,2020-01-16,164.350006,166.240005,164.029999,166.169998,23865400,164.428116
MSFT,2020-01-17,167.419998,167.470001,165.429993,167.100006,34371700,165.348358
MSFT,2020-01-21,166.679993,168.190002,166.429993,166.5,29517200,164.754654
MSFT,2020-01-22,167.399994,167.490005,165.679993,165.699997,24138800,163.963043
MSFT,2020-01-23,166.190002,166.800003,165.270004,166.720001,19680800,164.972351
MSFT,2020-01-24,167.509995,167.529999,164.449997,165.039993,24918100,163.309952
MSFT,2020-01-27,161.149994,163.380005,160.199997,162.279999,32078100,160.578888
MSFT,2020-01-28,163.779999,165.759995,163.070007,165.460007,24899900,163.72555500000001
MSFT,2020-01-29,167.839996,168.75,165.690002,168.039993,34754500,166.278503
MSFT,2020-01-30,174.050003,174.050003,170.789993,172.779999,51597500,170.968826
MSFT,2020-01-31,172.210007,172.399994,169.580002,170.229996,36142700,168.445557
MSFT,2020-02-03,170.429993,174.5,170.399994,174.380005,30149100,172.552048
MSFT,2020-02-04,177.139999,180.639999,176.309998,180.119995,36433300,178.231873
MSFT,2020-02-05,184.029999,184.199997,178.410004,179.899994,39186300,178.014191
MSFT,2020-02-06,180.970001,183.820007,180.059998,183.630005,27751400,181.705093
MSFT,2020-02-07,182.850006,185.630005,182.479996,183.889999,33529100,181.962357
MSFT,2020-02-10,183.580002,188.839996,183.25,188.699997,35844300,186.721939
MSFT,2020-02-11,190.649994,190.699997,183.5,184.440002,53159900,182.506607
MSFT,2020-02-12,185.580002,185.850006,181.850006,184.710007,47062900,182.773773
MSFT,2020-02-13,183.080002,186.229996,182.869995,183.710007,35295800,181.784271
MSFT,2020-02-14,183.25,185.410004,182.649994,185.350006,23149500,183.407059
MSFT,2020-02-18,185.610001,187.699997,185.5,187.229996,27792200,185.267365
MSFT,2020-02-19,188.059998,188.179993,186.470001,187.279999,29997500,185.822998
MSFT,2020-02-20,186.949997,187.25,181.100006,184.419998,36862400,182.985229
MSFT,2020-02-21,183.169998,183.5,177.25,178.589996,48572600,177.200607
MSFT,2020-02-24,167.770004,174.550003,163.229996,170.889999,68311100,169.560516
MSFT,2020-02-25,174.199997,174.839996,167.649994,168.070007,68073300,166.762451
MSFT,2020-02-26,169.710007,173.259995,168.210007,170.169998,56206100,168.8461
MSFT,2020-02-27,163.320007,167.029999,157.979996,158.179993,93174900,156.949387
MSFT,2020-02-28,152.410004,163.710007,152,162.009995,97073600,160.749588
MSFT,2020-03-02,165.309998,172.919998,162.309998,172.789993,71030800,171.445724
MSFT,2020-03-03,173.800003,175,162.259995,164.509995,71677000,163.230148
MSFT,2020-03-04,168.490005,170.699997,165.619995,170.550003,49814400,169.223145
MSFT,2020-03-05,166.050003,170.869995,165.690002,166.270004,47817300,164.97644
MSFT,2020-03-06,162.610001,163.110001,156,161.570007,72821100,160.313034
MSFT,2020-03-09,151,157.75,150,150.619995,70419300,149.448196
MSFT,2020-03-10,158.160004,161.029999,152.580002,160.919998,65354400,159.668076
MSFT,2020-03-11,157.130005,157.699997,151.149994,153.630005,56371600,152.434784
MSFT,2020-03-12,145.300003,153.470001,138.580002,139.059998,93226400,137.978134
MSFT,2020-03-13,147.5,161.910004,140.729996,158.830002,92727400,157.594345
MSFT,2020-03-16,140,149.350006,135,135.419998,87905900,134.36647
MSFT,2020-03-17,140,147.5,135,146.570007,81059800,145.429733
MSFT,2020-03-18,138,146,135.020004,140.399994,81593200,139.307724
MSFT,2020-03-19,142.770004,150.149994,139,142.710007,85922700,141.599747
MSFT,2020-03-20,146,147.100006,135.860001,137.350006,84866200,136.281433
MSFT,2020-03-23,137.009995,140.570007,132.520004,135.979996,78975200,134.922089
MSFT,2020-03-24,143.75,149.600006,141.270004,148.339996,82516700,147.185944
MSFT,2020-03-25,148.910004,154.330002,144.440002,146.919998,75638200,145.776993
MSFT,2020-03-26,148.399994,156.660004,148.369995,156.110001,64568100,154.895493
MSFT,2020-03-27,151.75,154.889999,149.199997,149.699997,57042300,148.535355
