symbol,date,open,high,low,close,volume,adjusted
TSLA,2010-12-31,5.314,5.45,5.3,5.326,7089500,5.326
TSLA,2011-01-03,5.368,5.4,5.18,5.324,6415000,5.324
TSLA,2011-01-04,5.332,5.39,5.204,5.334,5937000,5.334
TSLA,2011-01-05,5.296,5.38,5.238,5.366,7233500,5.366
TSLA,2011-01-06,5.366,5.6,5.362,5.576,10306000,5.576
TSLA,2011-01-07,5.6,5.716,5.58,5.648,11239500,5.648
TSLA,2011-01-10,5.634,5.736,5.61,5.69,6713500,5.69
TSLA,2011-01-11,5.718,5.742,5.384,5.392,8551000,5.392
TSLA,2011-01-12,5.402,5.48,5.304,5.392,4822000,5.392
TSLA,2011-01-13,5.392,5.394,5.232,5.244,3618000,5.244
TSLA,2011-01-14,5.23,5.316,5.122,5.15,5960000,5.15
TSLA,2011-01-18,5.096,5.128,4.95,5.128,8108500,5.128
TSLA,2011-01-19,5.054,5.094,4.75,4.806,11857500,4.806
TSLA,2011-01-20,4.806,4.89,4.474,4.524,11399500,4.524
TSLA,2011-01-21,4.624,4.718,4.542,4.608,6085000,4.608
TSLA,2011-01-24,4.706,4.962,4.646,4.898,8225500,4.898
TSLA,2011-01-25,4.93,4.978,4.804,4.936,6357500,4.936
TSLA,2011-01-26,4.942,4.976,4.82,4.95,5399500,4.95
TSLA,2011-01-27,4.948,5.016,4.906,4.984,4478500,4.984
TSLA,2011-01-28,4.976,4.976,4.75,4.802,5242000,4.802
TSLA,2011-01-31,4.81,4.824,4.7,4.82,4151500,4.82
TSLA,2011-02-01,4.862,4.946,4.708,4.782,3539000,4.782
TSLA,2011-02-02,4.832,4.836,4.734,4.788,2847500,4.788
TSLA,2011-02-03,4.764,4.78,4.63,4.726,2560000,4.726
TSLA,2011-02-04,4.688,4.734,4.644,4.692,2720000,4.692
TSLA,2011-02-07,4.652,4.652,4.576,4.614,4475500,4.614
TSLA,2011-02-08,4.756,5.05,4.6,4.898,17524500,4.898
TSLA,2011-02-09,4.826,4.836,4.558,4.642,13178000,4.642
TSLA,2011-02-10,4.652,4.728,4.562,4.644,4180500,4.644
TSLA,2011-02-11,4.65,4.75,4.588,4.65,3172500,4.65
TSLA,2011-02-14,4.728,4.828,4.61,4.616,6415500,4.616
TSLA,2011-02-15,4.602,4.634,4.512,4.568,4768500,4.568
TSLA,2011-02-16,4.62,4.994,4.614,4.946,20575500,4.946
TSLA,2011-02-17,4.926,5.098,4.71,4.72,13092000,4.72
TSLA,2011-02-18,4.666,4.698,4.592,4.636,11853500,4.636
TSLA,2011-02-22,4.576,4.6,4.356,4.374,10323000,4.374
TSLA,2011-02-23,4.436,4.5,4.222,4.366,8028000,4.366
TSLA,2011-02-24,4.356,4.516,4.3,4.506,5276500,4.506
TSLA,2011-02-25,4.562,4.77,4.538,4.722,6731500,4.722
TSLA,2011-02-28,4.748,4.82,4.7,4.778,5256000,4.778
TSLA,2011-03-01,4.81,4.864,4.74,4.788,5532000,4.788
TSLA,2011-03-02,4.764,4.856,4.746,4.804,3316500,4.804
TSLA,2011-03-03,4.896,4.958,4.812,4.872,3201000,4.872
TSLA,2011-03-04,4.896,4.998,4.756,4.99,7900500,4.99
TSLA,2011-03-07,4.986,5.08,4.94,4.988,10168000,4.988
TSLA,2011-03-08,4.92,4.992,4.8,4.932,6999500,4.932
TSLA,2011-03-09,4.932,4.998,4.854,4.944,4624000,4.944
TSLA,2011-03-10,4.888,4.898,4.746,4.802,5085000,4.802
TSLA,2011-03-11,4.77,4.85,4.706,4.814,4654000,4.814
TSLA,2011-03-14,4.764,4.8,4.64,4.65,5830000,4.65
TSLA,2011-03-15,4.44,4.592,4.36,4.59,6594000,4.59
TSLA,2011-03-16,4.572,4.65,4.538,4.564,5848500,4.564
TSLA,2011-03-17,4.648,4.686,4.528,4.562,4613000,4.562
TSLA,2011-03-18,4.638,4.638,4.502,4.592,3439500,4.592
TSLA,2011-03-21,4.61,4.61,4.508,4.546,2058500,4.546
TSLA,2011-03-22,4.546,4.572,4.4,4.438,2914500,4.438
TSLA,2011-03-23,4.422,4.454,4.354,4.442,2114000,4.442
TSLA,2011-03-24,4.428,4.476,4.396,4.466,2311000,4.466
TSLA,2011-03-25,4.486,4.6,4.48,4.55,2840000,4.55
TSLA,2011-03-28,4.54,4.708,4.51,4.65,5290500,4.65
TSLA,2011-03-29,4.66,4.8,4.642,4.784,3777000,4.784
TSLA,2011-03-30,4.822,4.898,4.602,4.742,6116500,4.742
TSLA,2011-03-31,5.31,5.742,5.3,5.55,57589000,5.55
TSLA,2011-04-01,5.49,5.636,5.314,5.332,14324000,5.332
TSLA,2011-04-04,5.366,5.4,5.046,5.166,13046500,5.166
TSLA,2011-04-05,5.18,5.4,5.138,5.34,15904500,5.34
